UTM_Bands,UTM Easting,UTM Northing
60H 300972 5926820,300972,5926820
60H 299706 5923988,299706,5923988
60H 299689 5924710,299689,5924710
60H 309863 5919946,309863,5919946
60H 301011 5919450,301011,5919450
60H 305361 5907472,305361,5907472
60H 309942 5909101,309942,5909101
60H 304919 5917245,304919,5917245
60H 296827 5914624,296827,5914624
60H 301159 5918173,301159,5918173
60H 301734 5918449,301734,5918449
60H 298427 5912454,298427,5912454
60H 299602 5903260,299602,5903260
60H 304910 5922007,304910,5922007
60H 302130 5915746,302130,5915746
60H 302500 5913871,302500,5913871
60H 302189 5907609,302189,5907609
60H 302571 5908439,302571,5908439
60H 312714 5908388,312714,5908388
60H 312940 5908793,312940,5908793
60H 308380 5901442,308380,5901442
60H 305134 5904800,305134,5904800
60H 303960 5922329,303960,5922329
60H 308309 5910696,308309,5910696
60H 303696 5922116,303696,5922116
60H 302722 5916311,302722,5916311
60H 308001 5905267,308001,5905267
60H 310140 5902963,310140,5902963
60H 302708 5910709,302708,5910709
60H 299978 5913423,299978,5913423
60H 306836 5904495,306836,5904495
60H 307612 5910424,307612,5910424
60H 310132 5918069,310132,5918069
60H 309416 5902189,309416,5902189
60H 299090 5906536,299090,5906536
60H 300731 5916374,300731,5916374
60H 300772 5915869,300772,5915869
60H 308531 5913145,308531,5913145
60H 304782 5916699,304782,5916699
60H 312277 5921971,312277,5921971
60H 307810 5908629,307810,5908629
60H 299911 5903889,299911,5903889
60H 300341 5904588,300341,5904588
60H 313145 5915317,313145,5915317
60H 301414 5904979,301414,5904979
60H 305112 5911921,305112,5911921
60H 312884 5909725,312884,5909725
60H 312957 5910394,312957,5910394
60H 308204 5915502,308204,5915502
60H 308159 5914955,308159,5914955
60H 309090 5926683,309090,5926683
60H 307927 5904130,307927,5904130
60H 307301 5901199,307301,5901199
