Latitude,Longitude,Time Epoch,UTM Bands,Easting,Northing
46.710906,-121.352927,Late Pleistocene,10T 625893 5174355,625893,5174355
46.593388,-121.402605,Early Pleistocene,10T 622361 5161219,622361,5161219
46.410014,-121.48646,Late Pleistocene,10T 616328 5140716,616328,5140716
46.387811,-121.403455,Middle Pleistocene,10T 622758 5138375,622758,5138375
46.38399,-121.490277,Middle Pleistocene,10T 616090 5137819,616090,5137819
46.395379,-121.4637,Late Pleistocene,10T 618109 5139124,618109,5139124
46.370577,-121.322428,Early Pleistocene,10T 629028 5136589,629028,5136589
46.019678,-121.759666,Late Pleistocene,10T 596008 5096981,596008,5096981
46.332633,-121.501977,Late Pleistocene,10T 615298 5132096,615298,5132096
46.315822,-121.48613,Late Pleistocene,10T 616554 5130251,616554,5130251
45.957458,-121.813386,Early Pleistocene,10T 591953 5090004,591953,5090004
46.233015,-121.463066,Late Pleistocene,10T 618508 5121084,618508,5121084
46.231302,-121.458497,Late Pleistocene,10T 618864 5120901,618864,5120901
45.945536,-121.775839,Early Pleistocene,10T 594883 5088724,594883,5088724
46.192327,-121.486737,Late Pleistocene,10T 616769 5116529,616769,5116529
46.152401,-121.412486,Late Pleistocene,10T 622587 5112204,622587,5112204
46.118969,-121.659634,Middle Pleistocene,10T 603565 5108138,603565,5108138
46.113222,-121.656136,Middle Pleistocene,10T 603846 5107504,603846,5107504
46.094782,-121.318469,Early Pleistocene,10T 629982 5105952,629982,5105952
46.094578,-121.657619,Middle Pleistocene,10T 603767 5105431,603767,5105431
45.745254,-121.582707,Middle Pleistocene,10T 610247 5066720,610247,5066720
45.752621,-121.581499,Middle Pleistocene,10T 610327 5067540,610327,5067540
45.678588,-122.368701,Middle Pleistocene,10T 549166 5058530,549166,5058530
45.935239,-121.821628,Late Pleistocene,10T 591351 5087526,591351,5087526
45.836695,-121.996544,Middle Pleistocene,10T 577929 5076392,577929,5076392
46.063956,-121.773465,Early Pleistocene,10T 594864 5101884,594864,5101884
46.038987,-121.780376,Early Pleistocene,10T 594372 5099101,594372,5099101
46.072001,-121.622899,Middle Pleistocene,10T 606494 5102968,606494,5102968
46.067766,-121.61005,Middle Pleistocene,10T 607496 5102515,607496,5102515
46.055107,-121.594726,Middle Pleistocene,10T 608706 5101129,608706,5101129
45.854653,-121.441078,Early Pleistocene,10T 621027 5079079,621027,5079079
46.056975,-121.420859,Late Pleistocene,10T 622151 5101589,622151,5101589
46.030953,-121.629878,Middle Pleistocene,10T 606033 5098398,606033,5098398
46.034058,-121.615851,Middle Pleistocene,10T 607112 5098762,607112,5098762
46.027063,-121.61453,Middle Pleistocene,10T 607228 5097986,607228,5097986
46.008485,-121.602026,Middle Pleistocene,10T 608232 5095939,608232,5095939
46.01374,-121.412643,Late Pleistocene,10T 622882 5096798,622882,5096798
45.927696,-121.556417,Middle Pleistocene,10T 611926 5087026,611926,5087026
