UTM Bands,UTM Easting,UTM Northing
12S 594653 3790772,594653,3790772
12S 597511 3790442,597511,3790442
12S 600006 3789670,600006,3789670
12S 605166 3789407,605166,3789407
12S 601940 3789671,601940,3789671
12S 596626 3786980,596626,3786980
12S 599672 3786353,599672,3786353
12S 613559 3796100,613559,3796100
12S 609243 3795203,609243,3795203
12S 608243 3794173,608243,3794173
12S 611373 3794195,611373,3794195
12S 612014 3794402,612014,3794402
12S 614435 3792233,614435,3792233
12S 613153 3791617,613153,3791617
12S 615550 3791407,615550,3791407
12S 608682 3788070,608682,3788070
12S 606846 3787470,606846,3787470
12S 607490 3787517,607490,3787517
12S 608784 3787232,608784,3787232
12S 608419 3786929,608419,3786929
12S 611358 3787638,611358,3787638
12S 613851 3787228,613851,3787228
12S 618810 3795726,618810,3795726
12S 619363 3795653,619363,3795653
12S 617064 3795544,617064,3795544
12S 616630 3793379,616630,3793379
12S 616985 3794463,616985,3794463
12S 624643 3793203,624643,3793203
12S 616027 3790013,616027,3790013
12S 617585 3790652,617585,3790652
12S 621462 3789962,621462,3789962
12S 622004 3790769,622004,3790769
12S 619253 3789834,619253,3789834
12S 634461 3795641,634461,3795641
12S 630962 3795648,630962,3795648
12S 626091 3795061,626091,3795061
12S 628695 3793178,628695,3793178
12S 631447 3793935,631447,3793935
12S 630531 3793563,630531,3793563
12S 632451 3794512,632451,3794512
12S 631274 3793093,631274,3793093
12S 631371 3792735,631371,3792735
12S 629536 3792269,629536,3792269
12S 626963 3791874,626963,3791874
12S 630016 3790877,630016,3790877
12S 629099 3790544,629099,3790544
12S 628739 3789939,628739,3789939
12S 629382 3790108,629382,3790108
12S 634732 3789543,634732,3789543
12S 629117 3789265,629117,3789265
12S 628225 3787154,628225,3787154
12S 627306 3786961,627306,3786961
12S 629607 3787153,629607,3787153
12S 631453 3786938,631453,3786938
12S 637862 3795971,637862,3795971
12S 635745 3795940,635745,3795940
12S 642131 3793714,642131,3793714
12S 642623 3791640,642623,3791640
12S 641419 3792102,641419,3792102
12S 641136 3792518,641136,3792518
12S 635251 3791931,635251,3791931
12S 638780 3789922,638780,3789922
12S 643937 3790040,643937,3790040
12S 643556 3790834,643556,3790834
12S 642472 3789457,642472,3789457
12S 641097 3788996,641097,3788996
12S 636149 3787163,636149,3787163
12S 638165 3787912,638165,3787912
12S 641661 3788244,641661,3788244
12S 652772 3790560,652772,3790560
12S 650119 3789416,650119,3789416
12S 649119 3788560,649119,3788560
12S 647919 3788741,647919,3788741
12S 649032 3788279,649032,3788279
12S 649032 3788279,649032,3788279
12S 654788 3791233,654788,3791233
12S 655981 3791493,655981,3791493
12S 595400 3798784,595400,3798784
12S 593024 3797143,593024,3797143
12S 593388 3797526,593388,3797526
12S 604991 3804955,604991,3804955
12S 603615 3804740,603615,3804740
12S 605288 3803082,605288,3803082
12S 602763 3798562,602763,3798562
12S 604815 3796110,604815,3796110
12S 612393 3801224,612393,3801224
12S 608627 3800705,608627,3800705
12S 610109 3799844,610109,3799844
12S 611033 3799528,611033,3799528
12S 612145 3798902,612145,3798902
12S 609755 3798702,609755,3798702
12S 608002 3799081,608002,3799081
12S 624487 3804896,624487,3804896
12S 622825 3798436,622825,3798436
12S 618229 3798017,618229,3798017
12S 632113 3805411,632113,3805411
12S 631004 3805785,631004,3805785
12S 629389 3802923,629389,3802923
12S 630196 3804374,630196,3804374
12S 634246 3804141,634246,3804141
12S 633528 3802930,633528,3802930
12S 634814 3803029,634814,3803029
12S 633627 3802452,633627,3802452
12S 630804 3800384,630804,3800384
12S 633840 3800394,633840,3800394
12S 634671 3800226,634671,3800226
12S 634050 3798616,634050,3798616
12S 632677 3798097,632677,3798097
12S 633228 3798124,633228,3798124
12S 630266 3799377,630266,3799377
12S 628834 3796478,628834,3796478
12S 631134 3796510,631134,3796510
12S 632693 3796916,632693,3796916
12S 635180 3803194,635180,3803194
12S 641517 3803848,641517,3803848
12S 635313 3800355,635313,3800355
12S 635070 3798071,635070,3798071
12S 585214 3805951,585214,3805951
12S 630468 3811215,630468,3811215
12S 629283 3810519,629283,3810519
12S 629754 3809686,629754,3809686
12S 626828 3808566,626828,3808566
12S 601726 3766814,601726,3766814
12S 601457 3766052,601457,3766052
12S 614929 3766811,614929,3766811
12S 622591 3766887,622591,3766887
12S 620748 3766664,620748,3766664
12S 624178 3765589,624178,3765589
12S 632934 3766847,632934,3766847
12S 625543 3767126,625543,3767126
