Latitude,Longitude,Epoch of Most Recent Eruption,UTM Bands,UTM Easting,UTM Northing
44.10095192,-121.695426,Middle Pleistocene,10T 604415 4883912,604415,4883912
43.526999,-121.8110876,Holocene,10T 596074 4820026,596074,4820026
43.48234426,-121.81311,Holocene,10T 595981 4815064,595981,4815064
43.64055159,-121.8173737,Holocene,10T 595386 4832630,595386,4832630
43.24063489,-122.1109811,Holocene,10T 572179 4787921,572179,4787921
43.27426837,-122.0939247,Holocene,10T 573523 4791671,573523,4791671
44.00386563,-121.6887379,Holocene,10T 605122 4873137,605122,4873137
43.99994571,-121.6881579,Holocene,10T 605176 4872703,605176,4872703
44.01510448,-121.702414,Holocene,10T 604006 4874368,604006,4874368
44.0096978,-121.7026973,Holocene,10T 603993 4873768,603993,4873768
44.00716594,-121.7025868,Holocene,10T 604006 4873486,604006,4873486
44.06584812,-121.7132639,Holocene,10T 603049 4879991,603049,4879991
44.05752867,-121.8012713,Holocene,10T 596014 4878960,596014,4878960
44.18801879,-121.7859347,Holocene,10T 597028 4893472,597028,4893472
44.25500765,-121.8857269,Holocene,10T 588952 4900800,588952,4900800
44.36976479,-121.9348656,Holocene,10T 584864 4913494,584864,4913494
44.36444975,-121.9340664,Holocene,10T 584935 4912905,584935,4912905
44.35763968,-121.9337685,Holocene,10T 584969 4912149,584969,4912149
44.35517663,-121.9329228,Holocene,10T 585040 4911876,585040,4911876
44.41917367,-121.9207811,Holocene,10T 585914 4918997,585914,4918997
44.32792485,-121.8983055,Holocene,10T 587839 4908885,587839,4908885
44.32236176,-121.9070312,Holocene,10T 587152 4908258,587152,4908258
44.31765347,-121.9058137,Holocene,10T 587256 4907737,587256,4907737
44.31451563,-121.9058707,Holocene,10T 587256 4907388,587256,4907388
44.30339177,-121.9064999,Holocene,10T 587222 4906152,587222,4906152
44.2840674,-121.8447027,Holocene,10T 592182 4904073,592182,4904073
44.26671291,-121.8456125,Holocene,10T 592136 4902144,592136,4902144
